p,times1,team_times1,won1,team_won1,last,max_times12,mean
8,900,14,428,8,2007-11-29 17:43:03,7,31.4903299267
40,900,62,273,23,2008-05-14 05:26:46,4,28.5539947648
88,900,15,179,6,2008-10-17 09:16:37,9,29.1523322313
191,900,680,497,450,2007-07-04 10:12:13,101,31.709482556
202,900,422,509,308,2007-06-12 19:54:00,196,31.1964554363
307,900,222,147,54,2008-05-24 12:50:43,6,28.3942584837
385,900,277,293,159,2007-04-30 21:20:21,24,28.434187241
398,900,42,295,18,2008-05-17 04:18:23,2,32.7399029231
410,900,39,343,19,2008-12-22 12:04:23,10,30.0042500444
470,900,466,461,298,2007-03-31 22:32:07,234,31.2938195735
473,900,484,406,289,2008-08-21 07:54:45,149,31.9023130974
500,900,139,341,62,2007-12-13 21:50:16,5,28.5921448726
504,900,229,285,150,2007-01-02 22:43:50,197,31.4773848225
616,900,74,267,35,2007-07-22 05:52:03,10,28.727756126
630,900,267,311,139,2006-09-14 19:07:27,28,30.2348089836
698,900,160,368,114,2006-06-13 20:34:01,69,30.359046672
702,900,429,426,309,2007-02-17 03:46:40,76,31.0112574669
719,900,15,314,7,2008-02-18 16:27:18,2,29.0629228123
963,900,49,372,27,2006-12-06 02:12:45,32,31.3418290477
966,900,10,402,4,2007-08-30 04:54:19,3,34.0229732223
982,900,168,368,91,2007-12-15 07:03:38,120,31.5054665246
1053,900,120,255,68,2008-05-04 19:37:35,25,29.450977748
1066,900,90,184,38,2009-05-17 22:05:13,4,28.9366886
1173,900,93,239,41,2007-02-20 16:13:50,16,30.5179809081
1226,900,119,225,64,2008-12-08 09:58:48,58,29.0229982647
1466,900,38,454,13,2008-07-12 02:34:32,2,32.5965049369
1619,900,15,426,6,2009-05-04 08:53:19,1,30.9034767821
1787,900,277,421,155,2007-10-16 17:40:35,112,31.1388969303
1819,900,42,331,16,2006-11-15 12:00:56,7,29.0181586587
1826,900,21,382,9,2008-07-26 16:59:39,3,29.9661702986
2000,900,41,249,9,2007-11-03 15:05:46,5,31.7139395655
2001,900,805,622,584,2008-10-31 13:55:51,73,31.3857132368
2036,900,414,257,169,2006-08-29 22:39:18,22,27.3429752256
2126,900,144,252,50,2007-05-31 21:10:29,14,26.7700383719
2276,900,494,497,347,2007-07-12 23:48:46,52,31.9750936579
2281,900,256,395,166,2007-09-09 05:09:15,129,30.7453149039
2302,900,155,275,87,2007-10-30 19:05:47,90,28.7182737753
2571,900,4,245,0,2008-12-06 23:41:02,1,30.0806236946
2691,900,636,431,363,2009-04-05 18:37:33,165,28.9392912169
2824,900,4,213,1,2008-09-30 06:32:05,1,29.6484394717
2923,900,20,282,7,2007-09-20 20:14:48,2,32.714818248
2935,900,7,420,1,2008-07-30 17:31:11,2,31.1295517544
2960,900,7,424,3,2008-04-01 18:09:27,3,31.3534199268
3019,900,143,658,114,2007-10-25 20:18:41,91,34.7812718422
3026,900,21,194,7,2008-02-23 19:56:56,1,27.1170606126
3034,900,688,573,515,2009-04-08 23:15:59,156,31.6115692825
3045,900,29,266,14,2008-08-13 20:37:46,2,30.1953252611
3247,900,80,270,31,2008-11-08 09:36:41,3,31.0720357258
3289,900,495,464,276,2007-08-13 23:50:49,270,27.9100352227
3314,900,394,353,222,2007-05-23 12:04:02,30,28.8233632469
3382,900,31,199,6,2008-04-07 12:15:11,2,31.1950474214
3387,900,16,206,5,2009-05-03 15:33:44,1,26.4073686018
3417,900,118,242,62,2007-04-10 20:17:24,5,28.4613266681
3450,900,123,351,59,2007-12-06 11:11:52,16,30.686952311
3484,900,107,400,60,2007-09-22 16:48:39,33,29.7631599636
3525,900,80,339,40,2007-11-26 15:47:10,9,29.6924609601
3570,900,32,312,17,2007-07-16 11:03:31,9,30.6139678114
3598,900,99,288,58,2007-07-16 10:22:43,47,29.5984037145
3602,900,182,374,111,2006-10-20 03:54:00,89,30.9868056809
3674,900,65,239,30,2007-08-05 14:25:42,30,29.6950305447
3695,900,82,233,41,2009-02-07 13:03:57,32,29.8637018084
3753,900,44,375,24,2007-09-09 15:01:56,16,32.1941283405
3791,900,804,659,627,2007-01-16 00:52:13,270,29.0550811866
3904,900,833,703,688,2006-11-04 03:50:56,260,32.1553584369
3950,900,813,664,637,2007-03-25 10:15:29,347,31.2850171189
4056,900,99,292,38,2009-04-17 03:18:06,21,28.6882631078
4176,900,144,287,77,2007-08-05 12:18:36,65,31.6814803341
4320,900,89,157,43,2008-09-26 14:51:57,4,29.2741884616
4351,900,250,347,125,2009-03-23 02:13:43,76,29.7223208537
4374,900,359,452,221,2007-08-03 12:09:30,103,29.6745238932
4381,900,280,342,149,2007-01-04 07:55:20,9,29.8224734242
4766,900,15,329,4,2008-01-28 18:45:44,1,30.6774348166
4857,900,287,428,179,2007-09-11 09:04:23,83,30.5516089987
4985,900,532,434,349,2006-11-12 02:59:40,92,30.2662924149
5001,900,170,275,105,2006-10-24 17:24:24,29,29.920484944
5130,900,359,356,191,2009-04-25 03:50:08,216,30.8271858456
5163,900,592,346,261,2007-02-11 06:12:04,22,27.9012724097
5183,900,432,421,298,2007-08-10 19:59:32,189,30.9309010005
5360,900,530,454,351,2007-01-09 20:47:36,99,30.6686774799
5422,900,28,292,12,2006-10-29 01:08:22,11,31.0768392784
5503,900,306,400,185,2008-09-17 00:39:54,59,30.9782142409
5668,900,77,262,41,2008-02-02 02:40:06,53,30.6412899287
5696,900,179,220,57,2007-12-24 06:19:09,36,30.0587946544
5733,900,360,396,253,2007-05-29 17:12:30,94,28.7780255608
5743,900,314,363,185,2006-10-25 01:26:02,80,29.7663338661
5822,900,9,249,3,2008-04-23 19:49:45,1,29.1963394121
5909,900,32,370,13,2009-03-17 19:04:28,10,26.9936821234
6020,900,85,299,58,2007-07-17 15:23:19,25,34.5687977575
6083,900,184,377,100,2008-05-19 01:37:23,83,31.2065803543
6145,900,69,377,45,2006-11-13 06:47:08,9,31.9599703125
6153,900,600,458,358,2007-06-06 23:16:02,99,28.3387717874
6320,900,27,433,14,2009-05-06 19:36:39,3,30.3664846303
6350,900,101,268,35,2008-12-21 20:56:27,19,33.6094662507
6369,900,265,310,151,2007-03-21 16:57:05,123,29.7655834304
6463,900,15,244,5,2008-04-10 21:38:18,2,29.0367651515
6480,900,126,227,39,2007-03-22 14:00:55,29,28.4689698226
6509,900,116,413,64,2008-09-06 02:41:43,101,28.3427193832
6584,900,46,230,20,2008-04-16 18:50:27,18,29.0800327424
6586,900,659,589,470,2007-10-29 02:38:47,504,33.7879946835
6607,900,25,298,12,2008-05-16 20:53:36,17,30.7136906275
6617,900,12,297,4,2009-04-19 17:25:19,3,31.8605901351
6640,900,22,271,10,2007-05-09 19:24:52,6,31.6260726173
6692,900,43,415,20,2007-10-06 12:34:43,4,32.7595272819
6788,900,373,335,195,2007-02-10 09:48:48,59,27.8889796807
6964,900,681,555,483,2008-04-11 01:12:17,58,27.2851846833
7015,900,418,401,232,2007-09-07 06:21:11,176,30.2558997837
7077,900,502,462,344,2007-09-13 18:44:38,47,28.6099120534
7151,900,471,459,298,2009-03-05 04:37:54,15,28.9803556135
7285,900,121,400,63,2008-04-19 18:06:25,65,31.7904285946
7469,900,44,197,20,2008-07-09 10:20:06,5,28.9135484722
7708,900,199,304,106,2007-09-10 03:15:12,17,26.5231886303
7795,900,246,328,153,2007-01-22 20:48:06,17,29.8891253188
7830,900,169,261,79,2009-01-13 02:49:18,60,31.0242484529
7865,900,77,285,40,2007-10-11 02:11:57,41,30.7719995841
7902,900,11,323,1,2007-03-31 22:19:00,2,31.0241259717
7913,900,365,337,158,2009-07-10 05:19:04,64,28.2693263619
8099,900,84,415,36,2008-03-21 11:16:37,32,31.6763169391
8147,900,34,185,18,2008-05-28 13:13:22,15,29.5528153149
8211,900,59,283,29,2007-11-06 02:27:13,31,31.5142122806
8215,900,130,322,60,2007-04-24 15:06:10,24,31.0478001533
8262,900,17,372,1,2008-10-10 09:22:48,1,27.2076524515
8395,900,581,485,358,2006-11-09 23:20:11,46,30.0244733306
8780,900,719,457,416,2009-01-19 03:20:50,697,30.0424798279
8919,900,83,499,47,2008-06-20 13:25:38,18,32.6070486724
9054,900,22,257,5,2007-04-06 03:05:47,5,30.8171691999
9175,900,650,628,523,2006-12-01 21:44:59,410,32.802666512
9231,900,240,431,143,2008-05-26 13:41:51,134,32.6604872965
9563,900,46,291,29,2007-09-22 19:14:16,33,31.1543234069
9899,900,351,447,251,2007-12-14 01:41:37,60,27.5801495036
9976,900,53,254,20,2009-03-04 21:33:23,24,28.6941922043
10083,900,19,293,11,2007-09-25 05:11:01,12,31.2140882438
10217,900,17,371,8,2008-07-13 03:40:42,3,32.1383863611
10272,900,9,393,4,2009-01-16 00:47:58,2,30.846537395
10277,900,651,583,494,2007-01-27 16:57:05,403,32.7813855385
10539,900,49,270,19,2007-01-27 02:00:31,25,32.0833268609
10749,900,446,469,365,2007-07-11 02:36:04,68,33.9375525807
10752,900,32,294,14,2008-07-07 06:28:51,1,29.6574212427
10807,900,328,364,160,2008-03-03 08:19:08,167,29.8890277271
10893,900,777,622,591,2007-03-12 14:24:11,390,32.3825770929
10944,900,314,443,203,2006-12-09 09:49:01,48,28.9455193197
10973,900,712,454,416,2008-07-20 23:43:33,587,29.7273173087
11087,900,118,147,40,2008-10-08 23:42:58,49,29.0309179184
11107,900,354,356,213,2007-08-03 18:19:19,262,30.9034126863
11158,900,156,413,72,2007-09-14 00:50:57,4,30.713536456
11321,900,252,338,142,2007-02-07 09:24:14,13,29.8086844543
11512,900,581,453,354,2008-02-08 09:13:54,112,30.8082928179
11544,900,58,319,26,2008-03-07 22:00:53,20,32.1583417545
11592,900,129,290,39,2007-07-20 07:00:47,39,26.5855115859
11635,900,447,451,303,2009-01-11 23:31:39,232,30.2494208136
11709,900,112,199,35,2008-03-25 19:26:53,2,29.0564541146
12027,900,399,249,148,2007-03-04 20:52:03,222,27.943113042
12059,900,613,526,459,2006-11-03 15:11:46,169,31.2834892159
12251,900,104,351,40,2008-04-24 09:38:06,4,28.1890794147
12275,900,219,374,112,2007-07-04 11:24:41,129,29.5441554139
12375,900,159,282,93,2008-07-15 13:22:15,111,28.9859880273
12400,900,182,254,93,2007-04-03 21:05:46,18,29.0121597907
12637,900,199,417,103,2008-05-29 12:23:31,127,31.5410931372
12862,900,15,268,3,2009-06-18 14:42:24,12,31.3076714549
13073,900,25,353,15,2007-06-26 20:30:55,18,31.1318965093
13134,900,6,111,1,2007-07-19 01:35:16,1,29.1772910541
13240,900,76,294,46,2007-07-20 07:28:59,45,28.3516168993
13271,900,216,385,159,2007-07-21 02:55:54,134,32.3110828155
13278,900,613,536,448,2007-04-17 22:07:47,142,32.0896541785
13334,900,648,557,491,2007-07-05 00:08:28,136,30.8943909269
13404,900,19,404,5,2008-01-02 22:47:59,2,29.6740721851
13464,900,752,491,472,2008-02-24 02:01:28,440,31.0487480704
13475,900,36,224,8,2007-04-25 16:11:08,2,29.2555632741
13525,900,396,335,205,2009-05-07 05:31:59,122,30.2554314305
13562,900,7,224,2,2008-05-28 04:36:12,3,32.5205629879
13679,900,98,298,48,2007-11-26 20:30:41,70,30.4257178004
13801,900,282,310,154,2007-08-15 22:18:11,148,31.9713240464
13868,900,261,403,193,2007-11-01 19:33:18,231,28.3027710303
13956,900,258,343,168,2007-08-20 19:43:22,33,29.2479657483
13975,900,142,313,63,2008-09-28 17:33:33,16,31.3243173368
14165,900,702,465,402,2008-04-30 02:34:45,313,30.4854275351
14173,900,44,224,18,2008-07-27 14:37:07,4,29.0022654945
14184,900,57,299,36,2007-11-29 14:29:00,42,28.7703203251
14275,900,279,326,135,2008-11-04 04:35:15,105,28.6959057024
14367,900,5,346,4,2009-04-24 03:26:16,1,30.2048444992
14374,900,518,469,354,2007-08-30 12:26:32,228,31.4219887681
14379,900,474,430,258,2008-06-17 21:34:07,448,30.5550039059
14380,900,313,337,163,2007-09-09 09:20:38,178,29.5832405219
14677,900,13,315,4,2007-12-10 14:49:55,4,30.8064803767
14723,900,74,264,34,2008-08-17 23:40:10,9,29.7922214876
14768,900,2,311,0,2007-07-20 14:55:54,1,29.5213802216
14934,900,688,621,544,2006-12-16 19:35:52,240,33.7574033776
14964,900,598,512,395,2007-10-12 05:37:16,126,31.4614665204
15295,900,318,237,107,2007-07-16 03:15:01,12,28.9350234001
15357,900,203,287,108,2008-01-22 08:05:35,17,28.6341761508
15387,900,741,496,449,2008-07-29 08:38:46,84,29.5454807702
15420,900,1,469,0,2007-11-25 02:02:23,1,30.9134706227
