rn,avg,stddev_pop,count,max,min
1,25.4972968382619,5.09076254793718,68217,39.3851182376,11.4745601337
2,26.3275281494574,4.82253004467238,52755,41.2226627042,9.91115820933
3,26.7802676035062,4.33868655358526,48057,42.7986900416,8.72483194223
4,27.0300145040229,3.95052334448324,45277,44.1277337658,7.0407113991
5,27.2236804589579,3.67362370835957,41707,44.196989514,9.32123270039
6,27.3553474973916,3.45195955568498,39304,44.9243018787,9.01147054182
7,27.4675769563938,3.28535894121768,37248,45.0540787502,8.97111482135
8,27.5737864430928,3.14042498746037,35359,44.6094128848,8.63760439346
9,27.6539479064181,3.02626980896235,33636,44.2780160654,9.69680187985
10,27.7134589342667,2.92404936846147,32121,45.0287810153,9.58714104725
11,27.7780061358062,2.84193275904752,30694,45.1006487392,9.11802180053
12,27.8421316917185,2.78580083494905,29384,45.247047104,9.03201061163
13,27.8835694369953,2.73833168205621,28210,44.4106996256,10.6274072718
14,27.9359923810549,2.68668649439365,27160,42.7525228962,8.31246066097
15,27.9853395360714,2.6442435778695,26138,42.1142893737,7.28662908755
16,28.026832563159,2.58766163273892,25230,42.0000290954,10.7959841392
17,28.0660492238868,2.55740649849107,24376,41.5622248956,10.3283391868
18,28.1020000911414,2.53066173862169,23582,41.6690580475,5.31998515567
19,28.12648468654,2.48780545927902,22828,42.6711126122,10.5835846326
20,28.1617044596858,2.47859518191263,22085,42.6503928441,10.2691310913
21,28.1893226700508,2.43954899511625,21416,43.1028182076,10.457633842
22,28.2230196267346,2.42802910690554,20803,42.8885926748,10.2515775413
23,28.2627941926629,2.39922055075461,20221,43.4128947379,10.2160070284
24,28.2991779460138,2.38476370400074,19655,43.6425508439,10.0944763441
25,28.3230930910977,2.37136447070076,19097,41.4654736213,10.0500421127
26,28.3453593384717,2.36105818018565,18605,42.124033156,10.0135339144
27,28.3596745699284,2.34453181621688,18140,42.8790266638,9.6301279929
28,28.3907350416575,2.32524347131621,17705,47.3019493727,9.84140889901
29,28.4125938595513,2.32369628557567,17256,49.9371328019,9.48112602
30,28.4413225378472,2.30332073454353,16839,50.4309798764,9.79698346629
