rn,avg,stddev_pop,count,max,min
1,21.5475094827481,4.5863643708577,178764,39.320245331,10.6822683694
2,21.6711973117774,5.33276905397094,102553,41.7102185126,8.76090463013
3,22.7639517950698,5.48846028468401,68152,42.7986900416,7.99469265169
4,23.7003586653323,5.28694519345234,52364,44.1277337658,7.0407113991
5,25.2609691155135,4.59923249443877,35135,41.8087133844,4.80167649593
6,25.718575416867,4.32998875307989,28924,42.8523075889,7.21995017608
7,26.0585467238228,4.13024802946861,24517,42.293528744,7.7466442367
8,26.3390151290391,3.94929146056179,20953,42.7631426379,8.06164088592
9,26.5947055642441,3.79945140010348,18125,43.3449116855,7.90031132029
10,26.7825052927715,3.65679306699059,16276,41.0537987381,7.10258821393
11,26.9192603385559,3.53707169239283,14904,41.260134409,8.08276638073
12,27.0188726397925,3.45277781652053,13683,41.1084297454,8.05747673298
13,27.1171439968039,3.3916996403663,12740,41.4619654182,9.37999838851
14,27.2043845872098,3.34207766333718,11931,40.9435137289,8.83030282692
15,27.2937515864027,3.29152557667098,11151,41.0734175356,8.73440761448
16,27.3638769945617,3.2211694479083,10503,41.1451766916,9.24690602646
17,27.4455464384415,3.15776459140207,9929,41.2360644574,8.66057322035
18,27.4982193856325,3.11061635416068,9394,41.2551464548,7.79590244904
19,27.5321861986506,3.06072544502442,8937,41.304966738,8.09381406466
20,27.5887665599396,3.02855018589898,8496,40.7185091144,8.07960047385
21,27.6092780386347,2.99607437118,8096,40.3236401253,9.94980811949
22,27.6558685359829,2.95563931348565,7759,40.5368355072,10.0816845092
23,27.7287361879764,2.91171188953821,7431,41.5218669315,10.0161070694
24,27.7950405179733,2.85835516840743,7110,41.075028915,9.83757248621
25,27.7978873849119,2.85253520976722,6851,41.4654736213,9.81245987507
26,27.843588005324,2.81889708966428,6599,41.5602689337,9.48027643949
27,27.8735848936063,2.80948687512938,6357,42.0011363661,8.78660967278
28,27.9123215958009,2.78590476709239,6124,42.2214457046,7.19546124655
29,27.9772168561431,2.74529280631438,5912,42.2998397372,6.04463638694
30,27.9938276181695,2.72485274654619,5707,41.055209423,9.79698346629
31,28.0105988129248,2.68889704050185,5519,41.3485995698,8.44683622617
32,28.0344505321904,2.70080031489377,5352,41.6006507258,6.79253393445
33,28.0400639037486,2.70599677341124,5215,41.8202425699,4.25316552023
34,28.0490534077197,2.70617866776425,5052,42.0193044651,2.52681704502
35,28.0646214701622,2.7020395053308,4903,42.2939249468,1.29156594676
36,28.0813412908792,2.66362196030251,4769,42.6303722925,10.8259502314
37,28.0961142578029,2.63839039555821,4626,42.8349644314,10.7383564449
38,28.1119617398369,2.60689064096302,4502,43.0809848986,10.6565514279
39,28.1098853611407,2.57497064164344,4387,43.2519596183,10.5798191795
40,28.1508213407528,2.57892553413613,4270,43.6002252415,10.7673540556
41,28.1885865231112,2.57301576107928,4171,43.875537323,10.7323953179
42,28.2139300455087,2.52238335436772,4069,39.6932845785,10.6716594047
43,28.2066160638349,2.52920882077488,3979,38.3923720517,10.6553350692
44,28.223658615382,2.52940449905415,3889,40.462976311,10.6041348102
45,28.2307048696206,2.50900889031326,3802,38.3155863613,13.319449577
46,28.262287203651,2.48578716340436,3718,39.5868651096,13.2913641018
47,28.2879503966766,2.49216299175734,3653,40.6890807777,13.271282579
48,28.288035701659,2.51379509024183,3578,41.4822167452,13.2515721676
49,28.2847197763003,2.51994826682239,3512,42.0329056901,13.2322195151
50,28.285370684887,2.51110764648094,3425,39.603134122,12.3927886917
51,28.3027141597947,2.51308490397971,3356,37.423979651,12.2666373009
52,28.3026383962607,2.49998659910262,3282,38.0867206373,13.1825840065
53,28.3082512850716,2.51399142927858,3223,38.8939262965,13.1577014208
54,28.3069487461629,2.51496115468873,3161,39.1707024283,13.1083267212
55,28.3520169149022,2.46704283959244,3100,37.4980324234,12.9937720023
56,28.3662582107022,2.46257136907506,3044,36.2734368007,12.7248166152
57,28.3816188395903,2.46998117919633,2980,36.9155302448,12.4750115098
58,28.399150421437,2.43251959824374,2934,37.4070111824,11.4800770702
59,28.4310627956799,2.40913450527308,2897,38.7983856777,11.9298149268
60,28.4546517148055,2.3872774471735,2836,37.7369558181,11.7219927377
61,28.4522422607798,2.40117001853646,2785,39.0013786556,11.5433514199
62,28.4724329242805,2.36417689351326,2733,39.9948304013,11.3452849382
63,28.49839079388,2.41116372628854,2694,41.2729958805,11.1742969923
64,28.5107898420705,2.40453686830543,2645,39.6269084739,11.0245694348
65,28.4923682111769,2.44278088990425,2603,39.7322418238,10.8919021486
66,28.4805701494018,2.37052796212491,2564,38.2833594983,10.7444230749
67,28.5041377984162,2.373707080645,2529,38.9410916429,10.6136587212
68,28.5363909699579,2.33167786742579,2474,36.9458700583,10.4965752237
69,28.5310998842983,2.31700805986317,2439,37.7276797957,10.3908612427
70,28.5335536274994,2.33817801510884,2397,39.4712476629,10.2899467996
71,28.5374212079027,2.37793357536471,2364,40.7536297817,10.1978950155
72,28.5448237455099,2.39766394870975,2321,42.4055736633,10.1134280842
73,28.5517620693248,2.3763434538969,2296,36.5713115451,10.0355140247
74,28.5465028706286,2.31910190537861,2273,36.4391004225,9.96101096593
75,28.5545346303406,2.32459066701882,2237,36.3276162252,9.89180092725
76,28.5401010107825,2.3372993471392,2210,36.9196198361,9.82725512727
77,28.5641390834533,2.38534131030892,2169,38.413928898,9.76684566217
78,28.5822048917492,2.33730419214013,2136,41.1866351243,10.1904234302
79,28.5778356480332,2.31915501629308,2105,38.4636380623,10.9002073082
80,28.5558382919794,2.33228434485595,2073,39.7318839791,10.7081991504
81,28.5782969169709,2.3404977785881,2046,38.6009786216,10.6681665899
82,28.5624159331165,2.34770552299365,2027,39.6373802964,10.4271773378
83,28.5834759830723,2.35233050840252,1999,36.3453563065,10.2224807276
84,28.5918046508543,2.37050858421998,1977,37.4108830366,10.0359282586
85,28.6176059951335,2.35238565958861,1950,38.4891474575,9.87336894676
86,28.62334645559,2.39270599666929,1923,37.7540202099,9.72523659337
87,28.6466514408019,2.38818358252676,1908,38.0316770727,9.59358257846
88,28.6609355435451,2.34980526123182,1882,38.2770376279,9.47545441624
89,28.6698195106264,2.30981020542688,1866,38.3606879907,9.36811767628
90,28.6903009319378,2.29954908161446,1846,38.4704392826,9.27037563288
91,28.6858935010787,2.34083105716816,1826,39.2532197579,9.18046505344
92,28.6930856516151,2.35810770323255,1787,39.8191830397,9.09765840896
93,28.7193435605874,2.36481337897437,1769,40.1741082602,9.01317345622
94,28.7187414938022,2.35136242500455,1746,39.6311928827,8.9353011689
95,28.7619062189797,2.33941767572981,1720,40.101345857,8.80570392638
96,28.7744018398719,2.31846136858212,1708,37.419498376,8.69009362348
97,28.7526128917231,2.31243716356631,1683,37.9377894501,8.58604858257
98,28.7819365557309,2.30302155455247,1651,38.4417069882,8.49169766878
99,28.8095020566602,2.19622648978235,1637,37.3862190315,8.36021458157
100,28.809159123627,2.20123908324439,1619,36.2981258915,7.47509386451
