rn,avg,stddev_pop,count,max,min
1,25.879941587037,5.15693424813999,42072,39.3851182376,12.123699228
2,26.238622784923,4.85086516946922,42074,41.3410397918,9.78266405838
3,26.466217540814,4.43669719384946,42085,42.4214432417,8.24915291424
4,26.6064231732698,4.12286586731065,42076,43.0629865024,9.20265220728
5,26.719151718222,3.88327759142054,42085,44.196989514,7.71479361083
6,26.8642628969174,3.64238848304986,41373,44.9243018787,5.40942447392
7,26.9776441802146,3.47232299017111,40723,45.0540787502,7.50166728065
8,27.07509491816,3.33248417761661,40026,42.9247658325,7.92308026054
9,27.1490747242826,3.20941537736899,39363,42.3070153883,6.89980313629
10,27.2263820549789,3.10996125557614,38576,43.2693526177,6.88522159258
11,27.2882286685058,3.02694955875583,37370,43.2412804315,7.4859498969
12,27.357045735563,2.95872898034596,36400,43.7652809639,6.62237641679
13,27.4215406073551,2.88679429918931,35510,45.2901331481,7.59844257109
14,27.4869509436532,2.83112050545652,34756,46.8324324441,7.81566447877
15,27.5338243795602,2.78687614599031,34109,48.2604180514,7.28662908755
16,27.5720485213194,2.73787221364223,33420,48.9566923785,8.40614742643
17,27.6093481779931,2.69357838485472,32810,41.5622248956,8.19681839445
18,27.6552678706578,2.6560670927213,32198,41.9012419363,5.31998515567
19,27.6899388874106,2.61417338677287,31653,42.271921741,6.67595286112
20,27.7174569804824,2.59927673377738,31192,42.2857002859,7.30933798108
21,27.7553852723957,2.55755197072117,30655,44.8768240388,7.73593926766
22,27.7790585410826,2.53477121694289,30128,45.1889647846,7.43312666664
23,27.8107466805787,2.49871716928992,29651,46.4568029654,9.55829398236
24,27.8423466897198,2.47900862621592,29227,47.215900762,9.52931944876
25,27.8766631405263,2.44932398604378,28778,41.5697118948,9.5135650864
26,27.9033012940264,2.41969391737307,28334,41.8826857209,11.6302562908
27,27.9296012489005,2.39771904853203,27902,41.9610964135,11.4564046703
28,27.9517114017778,2.38161091974837,27503,42.275656615,9.29727900992
29,27.9778329337047,2.35345984538401,27127,42.8009139358,9.16821890117
30,28.0006454939639,2.34689755130512,26776,40.5231538485,8.49055650337
31,28.0209323621018,2.32014778155762,26421,40.5981158981,7.52276437624
32,28.0399766235791,2.32424953302406,26060,40.6771899007,7.45005385489
33,28.0652111943276,2.31103357377653,25732,40.7965877939,7.13192812106
34,28.0856346606132,2.31340364404985,25412,40.9067370327,7.45353891151
35,28.0987262769413,2.30163363648783,25119,41.0110833596,7.77668500726
36,28.1199455238566,2.28503098070803,24831,41.3096431934,7.5857039456
37,28.1304082315241,2.29662075695821,24541,42.8967614334,7.28594470943
38,28.1600795318587,2.2812580313391,24258,42.0911357258,7.01423825914
39,28.1718349344874,2.27223163499233,23995,42.5162341648,8.31901286193
40,28.1926232100339,2.25821726657282,23707,41.6989573275,8.00759360519
41,28.2005350470632,2.26580765285124,23453,41.8165726878,7.94298643045
42,28.2223546903336,2.2460665731949,23180,41.923570986,7.77121661817
43,28.2468463584344,2.23829163985355,22914,42.0020916624,9.04225725891
44,28.2627176567251,2.20400047336785,22693,41.8176688678,11.3333381393
45,28.2797307064805,2.2017452117216,22460,41.3084038511,10.9730371594
46,28.2949339953689,2.20250695078222,22243,41.5556523662,11.8452096836
47,28.3031145075022,2.18840505653994,22028,40.1895744776,10.9920000029
48,28.3040747179781,2.18420177685133,21795,40.2263216342,10.3550209468
49,28.3175571443764,2.18999987885475,21589,41.9097616421,9.95322021935
50,28.3351885133311,2.17618125095704,21372,42.6110878458,8.76298740076
51,28.3554711878379,2.15480179397549,21119,40.8477682675,9.95906128048
52,28.374644419048,2.15029008953971,20922,41.3817104435,10.7451503878
53,28.3820041311151,2.14790200238913,20709,41.5716781587,10.6369071443
54,28.3967839796826,2.13089187150813,20507,43.3581179716,10.6038442228
55,28.4138060045519,2.1316261324643,20354,42.3142772976,10.4839061281
56,28.4248646372349,2.1196218461641,20130,43.1613270659,10.2959383258
57,28.4425823876527,2.13058145993142,19946,40.3888913605,10.167642728
58,28.4487734302412,2.1278714441856,19761,41.1834427978,9.62938286431
59,28.4535762147901,2.10451954723869,19575,41.5912301237,9.12494853774
60,28.4521099349396,2.10535995309006,19402,41.9701449166,7.97484142523
61,28.4749488874507,2.08144487668925,19236,42.2957247376,11.2508441115
62,28.4794849502102,2.07334370412874,19071,42.5099899051,11.2316460072
63,28.4931723244091,2.07302077339431,18895,43.1698827794,11.7409176105
64,28.4944034714146,2.07702639383344,18750,42.8439189946,11.6177544982
65,28.5028113639569,2.08832000406797,18623,43.9734898639,11.2168449909
66,28.5080558807782,2.07793532861672,18467,44.7393463031,11.0242894038
67,28.5237380755927,2.07042940981732,18309,43.4491488416,12.4016124337
68,28.5291939264969,2.0543969862504,18160,40.9148884616,11.304700235
69,28.5438844903686,2.05202911837741,18017,42.460087879,13.1197171054
70,28.5550506128312,2.0476246644793,17881,42.4227208743,12.3813586726
71,28.5619949281529,2.05245425902771,17749,42.7929330308,13.9764583278
72,28.5722584425933,2.01892985245044,17606,43.2127326214,15.2177815157
73,28.5819933225375,2.02290419608608,17468,43.8654535317,14.068428701
74,28.5878032375781,2.02264763702338,17351,44.4187537821,13.0611297939
