rn,avg,stddev_pop,count,max,min
1,26.0919178879471,5.04082613686836,8396,38.3244838041,13.6510171132
2,26.5417554824439,4.6363076917562,8387,41.3410397918,10.8751329024
3,26.7679323983247,4.16825739354248,8396,40.6252805458,10.834071422
4,26.8796241211893,3.81353352443929,8399,40.5875459821,11.0752902355
5,27.0014839292782,3.50710413394236,8399,41.9155564005,9.83787307892
6,27.0923999614396,3.28019212314396,8403,41.9756111749,9.6353222096
7,27.1704509632881,3.12279710457544,8396,41.4091198196,8.09791820597
8,27.2251611067233,3.0160385355043,8402,41.9356160394,8.08392017847
9,27.2837353035616,2.89939913820636,8400,41.9874050991,12.9953580605
10,27.3457777690205,2.79525047784262,8399,42.1821103513,13.1026734799
11,27.3536671634778,2.73405947977383,8402,42.6577687445,12.3896038367
12,27.4022308957434,2.66198342135142,8399,42.8075144492,12.2460315965
13,27.431773002051,2.60146726335032,8399,38.3131493905,12.1168222321
14,27.4624493827874,2.56329056699871,8402,38.6760788957,11.9863048675
15,27.4930576704478,2.5254920916801,8401,39.3203781473,11.1404329111
16,27.5127332608641,2.47685725041486,8399,37.336501203,9.77851890742
17,27.5300645932387,2.44116777750616,8400,37.6926923082,9.50979704048
18,27.5499744985197,2.41094857493693,8401,37.8411988597,9.28332032387
19,27.5669706926045,2.37547029655721,8402,39.4951410458,11.0911251375
20,27.5935400013791,2.35785204795427,8399,37.3540117429,10.8158252401
21,27.6143852289912,2.3464313892662,8402,37.9347937092,10.3889629911
22,27.6233539360882,2.33046876964887,8394,36.4880915383,10.2459088243
23,27.6447271670828,2.30299173539518,8395,36.7799871832,9.76803983469
24,27.6644799913303,2.29098101002867,8394,39.3161721638,9.53734575005
25,27.6866166222743,2.28189976815937,8388,39.7761239052,12.7552872045
26,27.7067486154348,2.25015191316352,8364,37.3100220596,12.3201125335
27,27.7277305430014,2.23802285002695,8326,37.0932714624,12.1795686618
28,27.7538926626768,2.22429755608864,8301,38.7921868894,12.0656588525
29,27.7989568750254,2.17981093820366,8264,37.3731093729,11.417279023
30,27.8187634654669,2.16897248492222,8237,39.9299208535,10.710909159
31,27.8337886007592,2.16219613119677,8204,37.4670428677,10.6480761569
32,27.8549133143529,2.15477304484723,8161,37.626977857,10.5796436436
33,27.8737856045196,2.15240850705702,8126,38.320758843,10.4683649107
34,27.8823569222449,2.14909896815746,8083,39.2280990754,10.2626221324
35,27.8884875195648,2.15303723736012,8038,39.7189715317,10.1524118434
36,27.9058533946472,2.13294758105733,7984,36.2813892332,10.0020606118
37,27.9214973688625,2.13671821100811,7956,38.0555753357,9.57718349534
38,27.9563819222802,2.14000442501734,7907,38.7232857032,8.97836657199
39,27.9633504474035,2.12913744067765,7867,38.8091038416,8.86600142758
40,27.9780245988893,2.13882879045401,7825,39.3697421654,8.64182614989
41,27.9916967566603,2.14633921437521,7787,40.4525015722,8.37987119326
42,28.0022788310672,2.11231166034787,7740,37.8455211201,13.0660198532
43,28.0262712025265,2.09357256009859,7699,40.2079452213,12.7516334653
44,28.0419158172745,2.06091404229967,7659,36.7919807906,12.6274107881
45,28.0564751221837,2.05756598737792,7629,36.4750287067,12.2250161116
46,28.0671225482754,2.0891032188006,7585,38.5347456748,11.8452096836
47,28.0791356540889,2.08811922138039,7543,39.1347812681,10.9920000029
48,28.0754800073718,2.07766896371022,7504,36.8026978079,10.665411228
49,28.0860324508357,2.07614719066106,7461,37.7858699067,9.95322021935
50,28.0990228750184,2.07605636982651,7417,37.4168086483,10.3110877333
51,28.105179760018,2.07777588921313,7361,37.5907677127,9.95906128048
52,28.123754124489,2.05843409964399,7316,38.3563006096,13.7777971391
53,28.1313526809051,2.06306831302235,7275,36.6205445284,13.5697858652
54,28.1507167630222,2.06201919052293,7220,38.449191975,12.3966507323
55,28.1699693523127,2.07243028142385,7184,40.7613038479,12.1757805186
56,28.1735597173472,2.05273926279054,7141,38.057651015,11.6555862312
57,28.1759318388428,2.06434996026966,7102,38.0501739234,11.3038747393
58,28.1868627341944,2.05969565791441,7055,38.4382829755,11.7022706951
59,28.1959949102938,2.04607170119617,7012,38.5821088577,10.2743671055
60,28.1999706757249,2.04908669743548,6973,36.2721648995,11.357062924
61,28.2155004009899,2.04108061326709,6941,37.1124317177,11.2508441115
62,28.2263647425039,2.03145659035999,6895,37.7720414132,11.2316460072
63,28.2455483669669,2.01927390271747,6841,39.6889542695,11.7409176105
64,28.2451596654181,2.02290462787614,6807,41.4122241474,11.6177544982
65,28.2522062019368,2.02020640636746,6774,42.3481494606,11.2168449909
66,28.2575802392818,2.02206524646631,6740,43.0238513385,11.0242894038
67,28.2863771765943,1.98821346941368,6705,43.4491488416,15.3995651213
68,28.2896750536192,1.98768189675268,6671,39.2335799706,14.7832332944
69,28.3019293655925,1.94971301636983,6638,39.5531643237,15.8875041384
70,28.3173346086152,1.9595237916881,6614,41.4290275217,14.7786764857
71,28.3080999351948,1.96985731714751,6588,42.323603942,13.9764583278
72,28.3292952729419,1.93746656375801,6546,42.9828423497,16.0384186195
73,28.3382934587078,1.94902914649243,6510,43.4458649535,15.5246915205
74,28.3393726610571,1.9631849139529,6489,43.8089215872,13.0611297939
75,28.3491682144266,1.94650986906265,6462,40.629452751,15.3224219231
76,28.3537974717444,1.95299013363379,6435,38.419329898,14.9485211209
77,28.3504124214823,1.96343374938872,6406,39.6447341697,15.3156776766
78,28.3521521142602,1.93850467744245,6370,38.4882031739,14.4391044671
79,28.355009624694,1.92973680299354,6333,38.6445994396,13.9557714714
80,28.3632283536952,1.9189542112511,6300,36.8556669105,15.5329832883
81,28.38783258692,1.90341717047115,6266,38.6687600574,15.6738883905
82,28.3831648492352,1.92982550639301,6242,40.1881232734,14.8811327166
83,28.3817832221998,1.91673365715487,6213,39.6025204237,13.6263739187
84,28.3864705971835,1.92932370314236,6186,38.5960962953,13.7744413126
85,28.4006196193369,1.93295447408941,6156,41.0117916779,14.5298026486
86,28.3936077162471,1.93263872051021,6119,38.9055810797,12.7689434094
87,28.4139647072543,1.93570068588992,6095,39.1020159055,11.230349046
88,28.4407467651031,1.93317362797355,6071,39.2289727094,12.3736444341
89,28.4425191023362,1.93273815581767,6049,39.8746423507,12.8614669185
90,28.4500639001022,1.94968438760586,6008,42.3014202443,12.1439495398
91,28.4791582058222,1.93699913250811,5984,43.9026542886,11.4565568232
92,28.4843109436038,1.90586091609468,5957,40.1807975535,11.0413951132
93,28.4958989299278,1.88698923431384,5926,40.8492313338,10.3678475385
94,28.4973004253381,1.88208559197597,5901,37.9215557612,10.2395500848
95,28.4974207751807,1.85894437101725,5886,38.2267830544,15.4969260355
96,28.5034255376259,1.86950903264075,5860,41.0664779457,14.6487025317
97,28.5169232786589,1.88030996300309,5839,43.6461845467,14.0798826064
98,28.522250179166,1.86659391645112,5821,45.0557307917,13.5364446684
99,28.5201773860163,1.85791432534975,5799,37.5896230993,13.0568577745
100,28.5224829070883,1.87129233701533,5777,37.8349167959,12.5474532228
101,28.5343195833372,1.8787704069968,5749,38.0393027608,12.7541487613
102,28.5384230564237,1.86438399446885,5726,38.1882387963,12.3167111661
103,28.53880449957,1.87156739196629,5701,38.9409984744,11.7851843999
104,28.5440416606345,1.88174505897667,5684,39.5025531569,11.0857842735
105,28.5609229414126,1.84466711736829,5662,39.4141633694,17.000616386
106,28.5729835489428,1.86006065884159,5639,39.8223494834,16.6853181122
107,28.587627541119,1.88037509543384,5614,40.5581746255,14.4584812897
108,28.5987817744522,1.8694772954415,5588,41.2026043423,14.3024630282
109,28.608673205081,1.88381666540971,5575,41.6320439832,12.9661734131
110,28.6064728753178,1.87307901932527,5546,42.3509361301,12.0220812871
111,28.6027946770605,1.85624114919246,5529,42.2643709215,11.6099083508
112,28.6040004576509,1.86591076256736,5502,42.538888599,11.3136783999
113,28.6084368048567,1.85125886188402,5489,42.8234437517,11.0002940239
114,28.6016818320129,1.86628291464809,5471,43.0607611803,10.7449576347
115,28.6078989361088,1.87985834843348,5453,43.2911136487,10.6002676261
116,28.6125529772658,1.89996494136582,5437,43.4902042618,10.4607057289
117,28.6201038516804,1.88223300341924,5410,43.6673978054,17.1365456336
118,28.6253120965181,1.88302977328162,5383,38.5474106772,14.5829019702
119,28.64090095085,1.86347080572719,5353,39.3002732626,13.197586761
120,28.6485381301044,1.86800140165693,5330,39.8513725764,13.0113554185
121,28.66754001235,1.87934127375426,5309,40.3439551367,12.9333761408
122,28.6545158727017,1.87644428201901,5292,40.7410059973,12.5076765381
123,28.6462583426379,1.900686814471,5262,41.2249111009,11.1126520527
124,28.6504945025135,1.8937129322111,5254,41.6363757466,13.0392331118
125,28.6581147290134,1.90373152743864,5230,41.9806124054,12.4349938482
126,28.6690219085104,1.8942752658231,5208,42.4701332608,12.3756478959
127,28.6725531042015,1.88379968809418,5187,43.6037679414,16.6834729458
128,28.66168444474,1.86672930390259,5161,44.8661888997,15.5215024725
129,28.6514600627112,1.86632801639219,5140,45.0069919084,14.6655352463
130,28.6606597997121,1.87648291769675,5126,46.1118920298,14.4246584644
131,28.6693915223731,1.85903010686352,5109,46.6816718981,13.8779424998
132,28.6857369199201,1.82393387317078,5087,38.2694844692,16.5953246702
133,28.6832066067615,1.85069532117118,5076,39.4462943473,13.7799978688
134,28.6779671423513,1.8588853733623,5053,38.2376345389,13.2497666368
135,28.6974278089157,1.83005931112265,5035,38.8645931862,17.0213065182
136,28.7002685633226,1.84157728554444,5017,40.316016188,14.4012084123
137,28.7126114612867,1.86021690010044,4996,41.8203861409,14.1356907389
138,28.712183280313,1.86524991817467,4976,42.3042036937,16.0560528982
139,28.7197123528482,1.83431935115927,4945,38.9876988734,14.9821954895
140,28.7346969699445,1.82134548462969,4928,40.0316676809,14.8107694885
141,28.72205230503,1.80334838857654,4921,39.8598711768,13.3911819041
142,28.7192424304205,1.81896798850313,4904,40.6455287999,12.946338648
143,28.7227518509448,1.82374963681068,4891,37.8577059923,16.0718115316
144,28.7176924500657,1.82246445665858,4871,38.8858702555,16.6575193773
145,28.7328362973183,1.83356325972953,4855,40.104574134,15.3722750011
146,28.7432209229215,1.81162182475793,4838,38.3800707342,14.990100582
147,28.7455251567665,1.77815764781785,4821,38.6325730622,16.4672178919
148,28.7598895308666,1.77656062138256,4793,38.2138329571,17.2493617082
149,28.768003214615,1.78726212440501,4778,38.5098614297,15.5067884228
150,28.7644133870275,1.7898085487043,4767,38.8288292678,14.3548707279
151,28.7621719751989,1.79640854582626,4754,39.0434481679,13.9224133256
152,28.7586040441071,1.80493708025441,4737,39.4629513286,15.5626751299
153,28.7801286277688,1.75729376703482,4714,41.0710013632,17.2457017342
154,28.7927311229738,1.76908099863279,4697,41.8295665041,17.0953261301
155,28.7813487541802,1.77441084987441,4677,37.6458911077,16.9721422065
156,28.7932963793883,1.7874891842105,4661,36.9881430958,16.7617490156
157,28.8019360189587,1.78448577685181,4643,37.6989422158,16.0675417935
158,28.8063587479419,1.768983691188,4625,40.2458406983,15.0230889444
159,28.8076957417355,1.75402449546893,4604,37.3116203917,18.5161185231
160,28.7990887870592,1.76597959222874,4584,37.685856451,18.2463015809
161,28.8085110823549,1.76266856873299,4564,36.6034038572,17.8911001488
162,28.8181338603278,1.77665402280178,4554,36.1335671666,18.1058277666
163,28.8342941487141,1.77922788426237,4530,36.6380171012,18.1789611484
164,28.8383989233917,1.78282487369324,4504,37.6199980429,17.064555374
165,28.8442724021738,1.78307010825024,4485,37.9689420148,16.1661544902
166,28.8503622749265,1.78000826905374,4477,38.5627971128,15.8080227556
167,28.839130346961,1.7564666623861,4460,38.005450704,17.0878215988
168,28.8286096571851,1.79580878173017,4443,36.9667053317,15.1000866789
169,28.8375606073258,1.79825875432095,4426,40.2213215577,14.00030848
170,28.8408628321754,1.80264650655732,4413,41.8793511301,17.0888493379
171,28.8414581988323,1.80284533988816,4402,43.1966945241,16.5877215272
172,28.827736894256,1.79460387396537,4388,38.0110859942,16.0280180042
173,28.8323909159989,1.80854658599131,4368,38.13241764,15.0304852531
174,28.8354935695459,1.81955698001975,4354,38.2631443658,13.74434879
175,28.838426689629,1.83249937592954,4343,38.5675667582,13.0799583463
176,28.8478539881111,1.82476180741783,4329,38.8172374255,12.8108954574
177,28.8661055373803,1.81205777420864,4314,39.0316388849,12.3663599155
178,28.8763751491823,1.80483519165792,4305,39.2101152211,12.0367918702
179,28.8633221289125,1.8212776491164,4287,39.3477103742,11.5252227341
180,28.8823409526549,1.78626548812192,4274,39.556889572,15.9264693542
181,28.8715524010652,1.82012027017933,4260,37.528940173,15.6647906088
