rn,avg,stddev_pop,count,max,min
1,25.5950183806739,4.86305438646535,7819,37.4960807722,13.2735003679
2,25.976482787624,4.66303135991346,7825,39.6219592324,11.5213652547
3,26.1654843595468,4.33473354800366,7829,40.9858304397,10.4532730571
4,26.3049252291076,4.09571845967835,7815,41.287055985,11.7363105576
5,26.4023522077425,3.8937132477997,7827,40.6273742259,10.0467014835
6,26.4919676715383,3.72732675082248,7832,41.4840770402,9.44424044431
7,26.550868033629,3.6505161350912,7825,40.866521149,9.08065304086
8,26.6652699102722,3.50152196483208,7675,42.343760749,9.09622838276
9,26.7527084877232,3.42024988648712,7550,44.2780160654,7.79365381117
10,26.8400640926431,3.31052997938771,7281,45.0287810153,9.32974184489
11,26.9137814333658,3.24667092304389,7098,45.1006487392,9.76672210035
12,26.963029820593,3.19621467208015,6931,45.247047104,9.10290879898
13,27.0326566133265,3.11569221459587,6675,43.9323679658,6.12619414692
14,27.049625443455,3.08825137313948,6552,42.7525228962,6.07230123193
15,27.1155837254843,3.01374645177337,6258,40.4705433172,8.35572855768
16,27.1703208106489,2.98062782888676,6055,41.6207558598,9.91523407319
17,27.2314800314115,2.93527354060301,5817,39.5667239173,8.94039161469
18,27.3010931961623,2.88175669087093,5558,40.3104903221,7.61651363762
19,27.332680751847,2.86830121582607,5400,40.8803453406,8.93916866342
20,27.4015120649205,2.83732592403371,5171,41.2373372708,9.35948876147
21,27.4508537984579,2.78285583310792,4990,38.4721013347,8.86144708293
22,27.5476274041289,2.76018514304076,4828,41.2771393717,7.72355588096
23,27.6029962711335,2.77169316931374,4645,40.9862114388,7.70629876988
24,27.6471176708132,2.74873700967381,4506,39.6920415506,7.6343839557
25,27.6715899239846,2.73722098075092,4366,41.2951379923,7.43414515564
26,27.69176834863,2.73214735691437,4249,39.0789314893,7.40031556613
27,27.7658917633919,2.69948314024401,4154,40.2752345271,8.46671611721
28,27.8123043788084,2.66497792098194,4039,40.4819538871,11.4079730947
29,27.8651050204833,2.65566871745515,3943,42.4714408061,10.4259410902
30,27.9064721354008,2.64820834079233,3837,43.1444998748,10.158077083
31,27.9309439669333,2.64772809130691,3753,43.7594572958,9.9642901833
32,27.9715694066687,2.63389001268439,3672,44.805378892,8.39136878212
33,28.0021415369083,2.62500960583101,3600,42.0602598366,10.2750732269
34,28.014591987489,2.60687812373566,3525,43.1071156188,7.71834356909
35,28.0285583654658,2.59834873071276,3441,44.4027324913,11.4137514446
36,28.0523000561701,2.56201920789942,3373,45.2361282223,7.30082560352
37,28.1051901868598,2.54780420694669,3316,45.9153010978,5.47470987975
38,28.1277876168644,2.51586111798973,3251,41.4219997526,10.5514491691
39,28.1244683197347,2.5170045314095,3193,41.6161634047,12.4208946459
40,28.1684140094468,2.52311597107162,3128,41.7237464834,14.6273830093
41,28.183218966735,2.5530690223688,3071,39.5441647602,13.4480710519
42,28.2272700580066,2.48316471215183,3007,39.9887439895,15.1135558829
43,28.2692843873679,2.49982889729074,2940,41.170737684,14.4300973484
44,28.2995038464053,2.47734128506436,2900,41.7487923391,13.8118793674
45,28.317530185656,2.48434607116074,2858,43.1038542669,12.9361401701
46,28.3096601678302,2.47351426484138,2806,42.8314585747,14.1714659581
47,28.348681389418,2.44387023484674,2767,41.416372453,10.2153444231
48,28.3621130635453,2.46089687325847,2731,38.605902346,8.74527005847
49,28.3512298502895,2.5099041489405,2688,38.8748366735,12.6460191721
50,28.4113380962268,2.4677578590959,2644,39.2676657874,12.6331174306
51,28.4164003737019,2.47750619440305,2590,38.6392367043,14.3840592755
52,28.4618905638827,2.46618118743685,2551,38.5777130754,13.6098903215
53,28.4751633051826,2.4261818880527,2513,38.9674924646,13.163354962
54,28.502385295761,2.46728892854483,2477,40.7184643999,14.6059912537
55,28.4883538760441,2.50538986154068,2446,40.2829090512,15.0599253008
56,28.4859558025498,2.48306993924962,2412,42.1015507818,14.2820631645
57,28.5110263566558,2.46597011711987,2370,40.4042357097,14.2653536527
58,28.5209772354361,2.3898614786069,2324,39.2178562513,12.2796024705
59,28.5552778809991,2.40270381395434,2286,37.3850370402,12.1735034814
60,28.5661425799721,2.43868485125021,2255,38.7649955523,15.3486357004
61,28.5936485737072,2.49216804945255,2220,39.5409257934,15.3926870611
62,28.598136325479,2.45528154348098,2186,40.4690626911,14.568734744
63,28.6191774346613,2.39829117220817,2164,40.2891746892,15.0628445676
64,28.6282450955189,2.34301187855554,2132,38.451219435,14.9051697853
65,28.6224162751545,2.3486438606031,2104,38.5441177583,14.5235569377
66,28.6533317733732,2.39755018991983,2077,39.5967692941,13.3959481106
67,28.6588031230121,2.41915073895647,2052,40.4010451624,13.1983125265
68,28.6896970980087,2.3998533498218,2022,41.7862971546,12.9163225261
69,28.6960071086175,2.33729909889478,2005,43.7017209251,13.3223764417
70,28.6992914357141,2.28390135287108,1981,42.9198634814,16.2848715691
71,28.6828585591761,2.36654912356681,1954,41.7648192258,16.0125279785
72,28.7032972481972,2.40949653123822,1937,42.1805034938,14.9911868637
73,28.7443504296239,2.47410004739126,1916,42.5360978314,14.7325997711
74,28.7731480304719,2.42262098455423,1886,43.0537655556,14.6878135219
75,28.7852134077826,2.42909635850819,1865,43.9165587621,14.1981147034
76,28.7735742049407,2.47132067269303,1840,44.7458369657,13.9990061634
77,28.7645928653543,2.5184151280166,1822,44.2208404664,13.4664108226
78,28.7588251261238,2.48088855148088,1800,40.9852494119,13.0305875479
79,28.7843038614647,2.40267555601807,1774,38.8859376914,16.3964362028
80,28.7898930714531,2.35682783493041,1754,38.4440518562,14.8738962075
81,28.8051816941789,2.38050701535468,1735,40.5853350823,12.7956601525
82,28.8056454555989,2.30328224335245,1714,39.9958763813,12.6970289984
83,28.7938027690928,2.3534783601584,1698,40.1320481892,12.1094700253
84,28.855328746797,2.30175357715099,1672,40.8155344347,14.064490572
85,28.8453274260152,2.31126506286518,1651,41.1211081108,16.7369800212
86,28.8678476807325,2.27685856710991,1631,37.9219719261,16.630225426
87,28.8756522323315,2.28735618219047,1616,38.7369550622,17.2659474703
88,28.8658695032758,2.27331446991802,1606,40.0109407953,16.6769237682
89,28.8974505985437,2.26540503149792,1591,41.0088586984,17.6498187357
90,28.9062041171795,2.22240233608562,1578,41.1990676329,17.2000115205
91,28.9156076860316,2.23847040390984,1560,42.8803940797,16.9480889183
92,28.8988457391829,2.20895767188555,1550,39.037198296,16.5643675648
93,28.9401065962291,2.21200222307217,1535,39.2003835199,16.2230361925
94,28.8973866980767,2.20487740955084,1517,39.4841271694,15.8341390504
95,28.9269512527194,2.19417710259238,1498,37.6870157633,15.5841302032
96,28.9273632172723,2.26282355648877,1489,38.245731983,15.4206508641
97,28.9307957308296,2.29914793930125,1480,39.3861891858,11.2252719028
98,28.9503126356192,2.37653323801816,1464,39.3593067233,9.44050314911
99,28.9707159607976,2.365262312289,1456,39.5969703618,14.3402060172
100,29.0030994070195,2.32856831210813,1436,40.5980777704,13.6567372443
101,29.0377561086217,2.34066063693638,1422,40.7832101418,12.7593998816
102,29.0706447732654,2.23299727872065,1413,39.4526384608,14.47948938
103,29.0917947024305,2.17226741489665,1397,39.3443524691,17.3195928372
104,29.1195224277406,2.21200928843992,1384,41.1465353666,16.3028534298
105,29.1078319844161,2.15542107971404,1370,40.584904332,15.7484753584
106,29.0998715902503,2.16900849038448,1364,41.4371414003,15.6429121059
107,29.1282579765299,2.12947023223331,1349,39.4877730984,18.8406207245
108,29.1283552158535,2.15841524557129,1337,40.3750656794,17.994548265
109,29.1393503750135,2.18887029815751,1327,40.7288575576,17.4746363018
110,29.1241900147303,2.16735726404334,1315,40.9666348076,17.2609240233
111,29.1341899576267,2.15187421337713,1297,37.9096666555,19.2453830643
112,29.1294910347085,2.15582222779351,1288,40.140443445,18.4141951269
113,29.1342410685431,2.1814098546964,1281,40.9482309457,17.8396677333
114,29.1054754421832,2.11314447421985,1264,40.3059867946,20.364501717
115,29.1138772783334,2.09973886069956,1250,39.3969639348,18.8346845851
116,29.0881557829504,2.09426542362546,1248,39.0616147803,17.5448491469
117,29.0759835363932,2.10464140916167,1235,37.9677762059,17.3522710798
118,29.0760577757506,2.15031533670737,1228,36.6999014904,15.7567720315
119,29.0591707780472,2.18980202415678,1217,37.2640558356,14.8979573996
120,29.0805110408429,2.19318888927253,1205,39.6382985162,14.986940976
121,29.1088968497377,2.14137411043282,1198,40.9647852689,18.521167959
122,29.1072632667526,2.10481167048483,1191,41.891231622,18.0473734506
123,29.1372743309259,2.0165217439675,1176,36.4916341812,19.6283634691
124,29.1194614163396,2.05535862794983,1168,37.7275473072,16.8755958165
125,29.1167329693094,2.05548480798356,1160,37.2292605328,18.2079055939
126,29.0884571739248,2.06504710928964,1152,37.2712223958,17.3008495425
127,29.1067723193969,2.13824355526795,1148,38.0225612726,17.210601186
128,29.1179648066751,2.19154312517797,1135,40.204215325,14.6065156997
129,29.1477739613291,2.15155029206686,1123,41.5282306925,15.4527673466
130,29.1425018425053,2.16734921225587,1116,40.8272319301,17.9542807316
131,29.1562349556582,2.16320038044533,1104,42.3220865053,17.4701165267
132,29.1272483153295,2.11661489281559,1095,39.0699583931,19.4005879456
133,29.1665811828484,2.09435934414282,1092,40.1300567506,17.5448027284
134,29.187330097286,2.06182377244428,1084,40.6381183416,20.8113517007
135,29.1920131117772,2.05427579706623,1072,38.8840555359,18.2319090799
136,29.2068067839005,2.02790769637649,1064,39.504349219,21.3990544805
137,29.1724397882595,2.03707514163037,1057,39.6044621829,21.1102569101
138,29.1591905659647,1.99739312647356,1050,40.1290166689,20.9861134592
139,29.1337798589529,2.05047309053107,1049,37.9462520859,18.1286437001
140,29.1365312643499,2.09045665528936,1043,38.265242017,18.0666653795
141,29.16535185406,2.13728915469759,1036,38.9575345041,15.8400114283
142,29.1710509780835,2.14863875734363,1025,39.0987653954,13.3338076652
143,29.211497971964,2.11476399375644,1013,40.1663034362,17.8375347929
144,29.2103686716488,2.12642570276726,1008,38.5019039918,16.8317089117
145,29.2185890413492,2.05819275454023,1001,38.3216870422,15.0369781369
146,29.2023550753173,2.11600725246032,995,39.5459437014,13.8844681382
147,29.210895348492,2.11148279559342,988,40.4817193358,13.4591222101
148,29.1922537271001,2.05712331203761,979,36.4518188397,12.9071347143
149,29.2361839178742,2.0488166850006,973,37.305798907,12.347661431
150,29.269602636257,1.98937143419658,969,36.6788237158,17.4838196176
151,29.265466118886,1.95987047872383,962,37.852287656,17.1212438936
152,29.3210690131756,1.96448307465653,952,39.0056083518,15.9194733477
153,29.329065364049,1.99658685184206,951,37.8780941004,14.2691687851
154,29.3003066166216,2.03412053664853,945,36.837884453,16.4921243079
155,29.3136401547615,2.04487499022577,943,37.0731271152,16.2227915404
156,29.353480089798,2.03683583189888,938,37.872797877,19.4677513455
157,29.3765054541543,1.99502676896961,938,38.7405057385,19.02676012
158,29.3355910707153,1.95820240602425,930,35.7923341667,17.6896809212
159,29.3455337640197,1.96162431504003,928,36.2562257362,17.6171429731
160,29.3214465074152,1.9541752650172,921,35.7294025894,21.2169556272
161,29.3237986381697,1.95571728790226,914,36.2480830967,19.8911534353
162,29.3276154494613,1.98119018110499,913,37.2443650956,21.4074452035
163,29.3357522029058,2.00518899113963,903,37.9438224702,20.6499190635
164,29.3361699383536,2.03671880214029,898,39.0746691549,19.7480929812
165,29.3609427597122,1.9891585767357,894,36.8563283749,19.3612183522
166,29.3859191208399,1.99546908721435,889,36.9744789701,20.5986428785
167,29.3582639070025,2.03384107170917,884,39.0829636732,18.6372245138
168,29.3450380109359,2.02137707991597,880,37.575636522,17.7957407005
169,29.3129345286715,2.00895502875055,879,37.9299987233,17.4885181713
170,29.2815324220378,2.04743628823718,872,38.358653029,16.6272507893
171,29.3226841242721,2.07003973541299,865,39.5414166939,16.1483622071
172,29.3240678596295,2.07016199780208,860,36.3125065973,15.4419749376
173,29.3143681643941,2.02924865807779,858,37.3107015791,14.0649046389
174,29.2784163359292,2.0362510763326,854,36.526606662,19.1684603866
175,29.301560966324,2.02106240006592,850,37.0178615226,17.6032956941
176,29.3196887709867,2.04649331378286,844,38.7037962554,15.0321763105
177,29.3163231919814,2.01894839392048,837,37.5552311062,14.2239917145
178,29.3486330350925,1.99594922957291,835,37.6867163064,20.2980195039
179,29.3491182713591,1.96719102739106,830,37.0000665209,19.3233525471
180,29.3509156605706,1.95431496521637,826,37.0298525793,21.2567289098
181,29.3168341750759,1.94187978003003,821,37.0846663105,19.8768476033
182,29.3404344834817,1.94045674185301,818,37.1490444205,20.4014387115
183,29.2969106737355,1.99685135468642,814,37.2195207884,18.5522132444
184,29.3113680117121,1.97608444331932,810,37.3039308871,18.0911036527
185,29.3546532111367,1.97891129002758,809,37.4369578226,20.728990718
186,29.4172516017577,1.89117025178574,802,37.450374724,22.0450961803
187,29.4470836736753,1.89151544616581,799,37.5606385803,23.0058030354
188,29.4358446103922,1.89530724195339,795,37.6217448897,19.8487175321
189,29.4093655973553,1.98116364344515,791,39.5257966422,17.479971387
190,29.3779986222102,1.97526608791488,783,36.8932336387,16.7676661405
191,29.3763440019441,1.94775390764551,782,36.9968990003,17.8298457327
192,29.4000311674571,1.9351135643697,774,37.2419522504,19.7482813117
193,29.4336938213705,1.86589268197476,771,37.5742026682,23.1097231091
194,29.4410186722602,1.86570582016966,767,38.1337636853,22.7142146589
195,29.4389772688819,1.91686295094199,764,38.5814574542,22.1944000442
196,29.4460396033772,1.9144338995647,755,38.9514706166,21.9140018515
197,29.4597602517794,1.93412228859271,751,39.2648553915,19.7961468842
198,29.483745482065,1.91172450205042,749,36.7645384618,22.6348368177
199,29.4347107352962,1.92863914311414,743,37.1437402932,18.6101558379
200,29.4498170025054,1.92963916192829,740,37.469405288,16.6899123103
201,29.4574382229267,2.00525279581418,737,37.6340881202,15.2534520411
202,29.4533028084096,2.01190004962494,730,38.0585979173,14.6186016646
203,29.4597641207433,1.98024128609445,726,38.6204771316,20.3632902814
204,29.4988971240995,1.96166120303123,724,39.3488889384,22.0941231271
205,29.4984496839835,1.95053181213298,720,38.0434837495,21.9477358055
206,29.4955311303022,2.0280552359581,721,39.1895517312,18.0932271908
207,29.4859146258886,1.96738094905557,717,38.5167090561,20.4220984749
208,29.5030050894671,1.93806457855338,718,38.6328304902,20.0585620814
209,29.4768336216371,1.93695180442047,714,38.6967700294,21.6207703381
210,29.4880626490666,1.96247776221444,710,38.7992179243,21.2765092586
211,29.5112265266439,1.95056556094746,704,39.1948633706,19.538610001
212,29.5071234140584,1.92931669363879,701,37.7354824553,18.450997383
213,29.491393923183,1.87442441423705,701,37.3177197416,21.329881259
214,29.5034683044012,1.86151458445524,696,37.338042686,22.9530277003
215,29.5126937588657,1.86522173505734,693,37.4011899393,21.907079059
216,29.5476597746488,1.87467184346472,691,37.47510822,22.3038406245
217,29.5652731414446,1.91946907573416,691,37.5724075273,22.1684712102
