rn,avg,stddev_pop,count,max,min
1,25.4502390630604,4.70938326177918,4595,37.2261401763,13.7893008361
2,25.7995608663965,4.44532073101192,4598,38.2579576672,11.9203280463
3,25.9382133990688,4.15147721312763,4601,40.4242131123,11.9661099265
4,26.0572519820331,3.89575152039168,4593,38.7812494052,11.7363105576
5,26.1362278337423,3.67061854408205,4599,40.6273742259,10.8718021694
6,26.2486182096033,3.46798641560666,4603,41.4840770402,9.86263047892
7,26.2971526837606,3.38107406564233,4600,39.9424533174,9.08065304086
8,26.3130060830416,3.30744772465186,4593,38.0177649192,10.8117162713
9,26.329600219538,3.26099898572542,4593,37.2376321961,9.71327245245
10,26.3492674587178,3.20779471653592,4527,35.7869403797,9.32974184489
11,26.4350396961479,3.15065155457048,4398,37.8291032865,9.76672210035
12,26.4846944129889,3.10085812590388,4295,40.7713093284,9.10290879898
13,26.5612323734472,3.01557228992136,4136,42.0413598643,8.93503481386
14,26.5734312860647,3.00825451178904,4050,42.7525228962,8.6779433739
15,26.6272776721019,2.92907101027569,3873,37.0351885446,8.35572855768
16,26.662560114454,2.87049728790339,3750,39.5601148451,10.0158346411
17,26.7256084772544,2.8252622442551,3613,37.8106741757,9.37902259471
18,26.785618729488,2.76414419561545,3461,36.4222486496,9.2542168452
19,26.805689889063,2.77660766932803,3361,36.8130406876,8.93916866342
20,26.8863158067866,2.73423266325993,3222,37.1073639045,9.621735687
21,26.9371916467404,2.69152689850724,3105,38.4475252697,8.86144708293
22,27.0407045568114,2.65075062483753,2988,36.4687224382,7.72355588096
23,27.0682314051568,2.63871880828416,2866,37.155022957,7.70629876988
24,27.1095325779721,2.65762575359061,2768,37.6538712511,7.6343839557
25,27.1498409847445,2.63441761973608,2675,37.406702857,7.43414515564
26,27.1783158622322,2.66794148779635,2594,38.3308919699,7.40031556613
27,27.2405993842813,2.60643395436405,2528,38.9550729657,8.46671611721
28,27.2797773601714,2.57744682759586,2456,36.7408014163,11.4079730947
29,27.3370966254108,2.55849857795791,2389,37.5842574959,10.4259410902
30,27.3643308808338,2.54061780766291,2314,37.6159639936,10.158077083
31,27.3772973333325,2.51818268155513,2262,35.4187288216,9.9642901833
32,27.4107464933838,2.52064663711337,2205,38.7171035311,8.39136878212
33,27.4280079894771,2.49528817573806,2158,39.591774547,10.2750732269
34,27.4449715323737,2.52112309552273,2112,40.2297783185,7.71834356909
35,27.462266599052,2.51211899717741,2049,42.9608851844,11.4137514446
36,27.5050499076875,2.44096490460539,2000,44.4421434305,7.30082560352
37,27.5585542416675,2.4083344843556,1968,36.0054981321,5.47470987975
38,27.5834643049475,2.3664527710572,1925,34.8751982344,10.5514491691
39,27.5825026267353,2.40433863436656,1890,35.5427517439,12.4208946459
40,27.6213213588589,2.38561462669407,1846,34.3232345035,14.6273830093
41,27.6254347309434,2.45916487591847,1808,37.9753501184,13.4480710519
42,27.6738147036137,2.41219629817509,1763,36.7271033206,15.1135558829
43,27.7085470531096,2.38915050162235,1720,38.7771567674,14.6759586221
