rn,avg,stddev_pop,count,max,min
1,26.2958727280781,4.71660671277518,452,36.4659334801,16.3430152996
2,26.9002162516392,4.93411608745726,449,38.3872832612,12.6614193187
3,27.4161438710356,4.89408557116802,452,38.5777544763,13.868773297
4,27.4790086204277,4.6395599963427,451,38.5131935217,15.1425738084
5,28.1050870939422,4.39659145490635,410,39.3704129415,14.1452775078
6,28.3342824448303,4.16009987513875,389,40.8186629621,13.6519683873
7,28.6350645066273,3.85519077330722,374,40.2738653129,16.064809197
8,28.9512467600361,3.75083760960892,363,40.367337406,16.2544222978
9,29.1171241768907,3.7531715640146,356,40.969506064,18.0073374734
10,29.058387059155,3.73019721067946,351,41.5828956962,17.3000580582
11,29.2095537421097,3.57653606709007,340,41.8282314814,19.2369582326
12,29.1674050212283,3.6833364919533,332,42.6344856021,18.2037713268
13,29.1903126058822,3.41905405415501,326,39.4118505723,16.5834337602
14,29.4432562604698,3.36181958612111,321,39.4762655157,21.3152373661
15,29.5218504085599,3.30078431056736,314,39.2888937104,21.1083420796
16,29.5108511258232,3.49779651846886,311,42.0000290954,14.7340348862
17,29.6011624562797,3.43271178733132,301,40.6303588359,20.8924458007
18,29.5102441811462,3.30087610341519,299,41.2409440957,19.5679266021
19,29.4646850149493,3.1896306195685,294,41.8926712064,18.0418711819
20,29.5318754491781,3.18428943995176,288,42.6503928441,16.1851211047
21,29.5913106739836,3.20686927801563,281,43.1028182076,14.9466793916
22,29.6185019930551,3.19775117447066,276,40.0179572131,14.4271557273
23,29.6560291944744,3.19280918441649,274,40.2938031148,14.0939374758
24,29.7943507830824,3.02017686740412,267,39.9318137621,20.0876262674
25,29.8609996598421,2.9430796842768,264,39.9789751887,23.6561516173
26,29.8819949299804,3.01356365649697,260,40.0015229118,22.9900527033
27,29.945224660126,2.95714415255741,258,40.3490564573,22.6684462902
28,29.969838658243,2.89389516365779,251,40.1260372753,22.0716163309
29,30.1293167224196,2.91761349468317,245,40.1497354188,23.7127452589
30,30.1800509426719,2.91197950962133,242,40.2016670981,23.4546135515
31,30.1643663262198,2.84552855668316,242,40.2419606611,23.4827714933
32,30.1423303715004,2.82854946326165,237,40.2970086378,23.6806591841
33,30.1340429992743,2.73753863433479,237,40.3371258362,23.1596498273
34,30.1840401391881,2.77492636901985,235,40.4524415964,22.6719582151
35,30.2585154257962,2.78086201938759,233,40.4624532209,21.8458072737
36,30.2872370771173,2.72199356457372,231,40.474530192,22.2869226637
37,30.3249632746268,2.84871443892936,231,40.4981109093,21.4714926102
38,30.3818619409899,3.08063114217335,227,41.5611090793,21.3270432119
39,30.4149088845342,3.0931508489955,225,43.513749529,21.9299031829
40,30.4404683299013,3.16425334245497,225,45.8676501545,21.289476379
41,30.366359631628,3.24496754108754,225,41.6983352656,20.7182118824
42,30.5665362989567,3.25350735089953,224,42.3392899768,22.1298169108
43,30.63961546899,3.37364410709123,221,43.3291630789,21.2129536326
44,30.6820653136041,3.49891641358434,220,44.7734940277,20.3710628108
45,30.7118227199562,3.460017436169,219,45.7651546019,19.8788773691
46,30.6066342881624,3.32466390775567,218,43.8175324223,22.6992399904
47,30.6088748754273,3.36783656988766,216,44.2252512981,21.8715900469
48,30.4801115014814,3.307845084896,215,44.4939659617,21.8323096632
49,30.5874591285467,3.37055255134565,212,44.9071098913,23.2158837422
50,30.7377969055952,3.34961983819057,210,44.7813607821,22.769484816
51,30.7999415998764,3.37962736914347,208,45.068597215,22.4185702098
52,30.7471021618097,3.11949741840889,207,41.6731909225,23.299964917
53,30.692083401648,2.96619042149531,204,41.4368184819,23.6957554685
54,30.6885455163875,2.98156863709266,200,40.0787162515,23.9987186058
55,30.6723041896061,3.01027146688796,197,40.4851855295,19.8163428774
56,30.8829168948643,2.87754074405678,193,39.4371165522,24.3846084185
57,30.7713139908859,2.90511722949957,192,39.4388823012,24.3203872141
58,30.8275521296307,2.97675170746877,192,39.6502997103,23.1188085522
59,30.8605145120816,2.91784995382868,190,40.2193740548,24.6430743101
60,30.975630727482,2.93860312573136,189,40.9742841271,24.1602555764
61,30.9770528239567,3.01155302894093,187,41.8634910663,24.5044986541
62,31.0466454327247,3.16528200470681,186,42.2722782783,23.9260309352
63,31.0297325103605,3.08560709040557,185,41.4137697178,22.0406300776
64,31.0472466315641,2.93819173377116,184,38.0340723023,24.2497437364
65,31.0625276017492,3.11544246781641,181,38.7920968456,19.9590725362
66,30.9800686446107,3.33063806380907,177,39.5024453605,22.2609826122
67,31.0109293812091,3.44451933715477,175,40.9621548897,20.8546954058
68,30.9750473734624,3.44969909557409,173,41.9610458575,20.5214547664
69,31.1066651527122,3.44721249776575,172,42.5631947498,19.0326730481
70,31.176310105793,3.37471618530249,172,43.3413863593,21.1634505247
71,31.1573945717884,3.35650330936339,172,45.1785591631,23.925643764
72,31.2495733110105,3.18081918637134,171,40.808742771,23.3771020391
73,31.2293917522082,3.08305415517859,171,41.2624743563,23.6831573689
74,31.2743529361573,3.10058750992668,171,41.748732524,23.8424695081
75,31.2415573968811,3.25959525367089,169,43.1631591415,23.7547443758
76,31.2338312124521,3.29435616325105,167,44.0563289519,21.8434512225
77,31.3747762081349,3.34225811974678,166,44.7484473281,22.645310721
