dif,avg,count
-0,0.48312810749359667986,730090
-17,0.04273504273504273504,234
-12,0.11012364760432766615,2588
-1,0.44173318196628138200,684429
-13,0.09163802978235967927,1746
21,0.95081967213114754098,61
-15,0.08038147138964577657,734
-22,0.20000000000000000000,5
5,0.69503683285781066138,62037
-16,0.06352941176470588235,425
-14,0.10118043844856661046,1186
-23,0.00000000000000000000,2
-10,0.13910355486862442040,6470
11,0.87797437461866992068,4917
1,0.52484543284930600181,571111
19,0.95000000000000000000,200
-2,0.39791018682279278730,491910
20,0.96825396825396825397,126
23,0.85714285714285714286,14
13,0.89775750665146332193,2631
2,0.56699138981695972438,355277
-25,0.50000000000000000000,2
18,0.96521739130434782609,345
25,1.00000000000000000000,5
3,0.61110859261274057956,198531
24,1.00000000000000000000,2
-11,0.11156824782187802517,4132
9,0.82885906040268456376,10132
-18,0.03906250000000000000,128
4,0.65099602318745620501,109887
-8,0.17815116210994672443,17081
-24,0.00000000000000000000,1
-3,0.35328970077178025543,298401
16,0.94933920704845814978,908
6,0.73106040411579676921,37514
22,0.91428571428571428571,35
-5,0.27416891037969119182,90995
-7,0.21211805193450829075,28767
17,0.97310126582278481013,632
-9,0.15499568924226458473,10439
-6,0.23838635644191199747,50544
-21,0.10000000000000000000,10
10,0.86115171002630809705,6842
12,0.89750849377123442809,3532
15,0.92679355783308931186,1366
-20,0.03448275862068965517,29
7,0.77070009014036141993,23297
8,0.80337190082644628099,15125
-19,0.05970149253731343284,67
-4,0.31149135790679908327,167552
14,0.93005464480874316940,1830
