rn,avg,stddev_pop,count,max,min
1,22.7875490143301,4.9900074430576,273592,39.3851182376,10.6822683694
2,23.3432837316147,5.51059092100365,188807,41.7102185126,8.76090463013
3,24.4008956596214,5.30858078540535,148718,42.7986900416,7.99469265169
4,25.1417099944134,4.90910601925961,129859,44.1277337658,6.70648671188
5,26.1057628179737,4.21470566754564,108764,44.196989514,4.80167649593
6,26.4054345442338,3.92452843866351,100817,44.9243018787,5.40942447392
7,26.6100065787853,3.72167590669916,94947,45.0540787502,6.06838334928
8,26.7828931068355,3.54804330197695,89821,44.6094128848,5.81423702946
9,26.9237561342307,3.40311517696893,85379,44.2780160654,5.69929756035
10,27.0334391941499,3.28739198059296,81662,45.0287810153,4.89514795847
11,27.1151857238071,3.19339030439896,78331,45.1006487392,4.80834878084
12,27.1899562699471,3.12214565209519,75315,45.247047104,4.65449330661
13,27.2620859018886,3.05161357939481,72539,45.2901331481,5.16516030968
14,27.3305373220074,2.9977517642521,70104,46.8324324441,4.90331899619
15,27.398623080132,2.93767103875937,67742,48.2604180514,4.58124422336
16,27.4489238307484,2.88551555888758,65701,48.9566923785,4.57356047287
17,27.4990450596815,2.83699837426635,63836,41.5622248956,4.40990640657
18,27.5447303066827,2.80064420271726,62040,41.9012419363,5.31998515567
19,27.584735747631,2.7608295614096,60436,42.6711126122,6.05200431441
20,27.6225187358932,2.7371342285767,58922,42.6503928441,5.7186910381
21,27.6582827270066,2.70702416512002,57490,44.8768240388,5.37453901762
22,27.697521201024,2.67855993755439,56149,45.1889647846,5.14983459434
23,27.7376346591914,2.65060516231917,54883,46.4568029654,4.975774875
24,27.7751268039079,2.63060865325087,53655,47.215900762,4.63964281889
25,27.803656354538,2.60605110100494,52471,43.5806784082,4.50131762025
26,27.8367776799924,2.58447281827492,51383,44.8644843284,4.37688996305
27,27.8678763295055,2.55935185212491,50351,45.4322769777,4.09363661091
28,27.8957964052329,2.53608073497028,49368,47.3019493727,3.92927962918
29,27.9316409005668,2.51387662570156,48427,49.9371328019,3.83577085616
30,27.9564478319631,2.49519219036273,47527,50.4309798764,8.49055650337
31,27.9800159254636,2.47808591136724,46692,52.5968771908,7.52276437624
32,28.0041737501922,2.47884474009757,45862,52.6925183966,6.79253393445
33,28.0273995015135,2.46583029338785,45145,52.871418925,4.25316552023
34,28.0494060333174,2.46175692924135,44338,52.896727148,2.52681704502
35,28.0664648779139,2.45264709747273,43615,53.5020295219,1.29156594676
36,28.0861772328779,2.43341143983151,42942,45.2361282223,6.49382119844
37,28.1018347224296,2.43547927449333,42289,45.9153010978,5.47470987975
38,28.1278042546544,2.42239873701481,41629,43.0809848986,5.95049862977
39,28.141786793951,2.41141894711737,40975,43.513749529,8.31901286193
40,28.1686238793606,2.39905123648083,40326,45.8676501545,7.60192726499
41,28.1866523682281,2.39718330816063,39762,43.875537323,7.13425273192
42,28.2050966771183,2.37491878171256,39172,42.3392899768,6.80157244987
43,28.2284767843407,2.3688815995821,38598,43.3291630789,6.39064398746
44,28.244054298677,2.34557602068727,38122,44.7734940277,5.33535292299
45,28.2614820450154,2.33656441274311,37629,45.7651546019,10.9730371594
46,28.2794823155137,2.33271056185445,37145,43.8175324223,11.5201397997
47,28.2951750482663,2.31806897746228,36697,44.2252512981,10.2153444231
48,28.2965838342939,2.31600217298459,36244,44.4939659617,8.74527005847
49,28.3055998428569,2.32774953440499,35806,44.9071098913,9.95322021935
50,28.3293458653005,2.31300316430461,35336,44.7813607821,8.76298740076
51,28.3482421435654,2.29918531907064,34842,45.068597215,9.95906128048
52,28.3687449814598,2.28828906356474,34411,44.9329259833,10.7451503878
53,28.3755411158586,2.28804164440415,33996,45.7098951044,10.6369071443
54,28.3884588105028,2.28050121172433,33582,46.7829901479,10.5601037861
55,28.4056239498299,2.28285851528438,33235,47.0751451466,10.4406025637
56,28.4180743032298,2.26972578856943,32817,47.5394788876,10.1998263484
57,28.4359120068591,2.26933707726708,32417,47.7892063147,10.167642728
58,28.4426059227851,2.26401467499795,32054,47.9446156061,9.62938286431
59,28.4537963667264,2.24846420600066,31698,43.3503857036,9.12494853774
60,28.4601889665696,2.24500295974638,31351,42.0783258737,7.97484142523
61,28.4811156541849,2.22897208230944,31025,42.7227231885,10.6537217178
62,28.4866375986086,2.22168087959961,30688,43.5219732122,10.7649888083
63,28.5025831933725,2.2198961423021,30386,43.1698827794,10.5065516238
64,28.5063758271105,2.21268163630925,30080,43.3790762907,10.2184158282
65,28.510491483233,2.21600033604627,29796,43.9734898639,10.1792594315
66,28.5185433396629,2.20287650110032,29510,44.7393463031,10.7444230749
67,28.5313334125728,2.19979429562047,29227,43.4491488416,10.6136587212
68,28.5414960892363,2.18716764919191,28926,42.5460847748,10.4965752237
69,28.5542967493372,2.18626657262918,28665,43.7017209251,10.3908612427
70,28.5646086440986,2.18378626008055,28396,44.0291859259,10.2899467996
71,28.5702187940191,2.18870535214566,28130,45.1785591631,10.1978950155
72,28.5824589553005,2.1743527592653,27844,44.8051031823,10.1134280842
73,28.5938704001539,2.17513098414235,27603,45.2308593811,10.0355140247
