rn,avg,stddev_pop,count,max,min
1,25.6781296674737,5.09816350315939,20746,38.5626273283,12.4333432752
2,25.9869835408285,4.88105985718417,20746,40.5510957605,9.78266405838
3,26.2204864479986,4.51683843981059,20746,40.7329930166,9.87982098325
4,26.3716144464754,4.19739958310088,20746,41.6661652977,6.70648671188
5,26.5109846837549,3.96944563398762,20746,41.8087133844,7.70210244923
6,26.6190437171546,3.78267375445652,20746,42.1056987938,7.59506000302
7,26.7054423187078,3.6498815364695,20746,42.1915271488,7.07016362031
8,26.7818575163456,3.5319055206995,20746,42.2306829182,7.50356128951
9,26.8442005809807,3.44684672032921,20746,42.7949763457,7.08272585631
10,26.8831181953614,3.38498260611408,20746,43.2693526177,6.9487087646
11,26.9299742696699,3.32417559886346,20746,43.2412804315,6.81995531134
12,26.9416609189618,3.2915837982225,20746,43.7652809639,6.13860431744
13,26.9534659414266,3.28470136288278,20746,45.2901331481,5.16516030968
14,26.956184121388,3.29835718418445,20746,46.8324324441,4.90331899619
15,26.9440610668087,3.30738989783354,20746,48.2604180514,4.58124422336
16,26.8963160374259,3.341184818445,20746,48.9566923785,4.57356047287
